step,epoch_index,offset_in_epoch,samples_in_step,mean_margin,epoch_boundary_step,SemVariants_count,SemVariants_ratio,VisVariants_count,VisVariants_ratio,DermQA_count,DermQA_ratio,SI1_count,SI1_ratio,SI2_count,SI2_ratio,loss,grad_norm,learning_rate,log_epoch
112,1,112,256,0.12202013755450025,False,38,0.1484375,52,0.203125,17,0.06640625,76,0.296875,73,0.28515625,,,,
113,1,113,256,0.1540366856206674,False,26,0.1015625,53,0.20703125,12,0.046875,87,0.33984375,78,0.3046875,,,,
114,1,114,256,0.13141924593946896,False,38,0.1484375,48,0.1875,18,0.0703125,65,0.25390625,87,0.33984375,,,,
115,1,115,256,0.13616234506480396,False,36,0.140625,40,0.15625,21,0.08203125,81,0.31640625,78,0.3046875,,,,
116,1,116,256,0.13198742500389926,False,25,0.09765625,53,0.20703125,21,0.08203125,86,0.3359375,71,0.27734375,,,,
117,1,117,256,0.1332923407026101,False,32,0.125,52,0.203125,21,0.08203125,66,0.2578125,85,0.33203125,,,,
118,1,118,256,0.13078950095223263,False,32,0.125,57,0.22265625,20,0.078125,80,0.3125,67,0.26171875,,,,
119,1,119,256,0.13712851048330776,False,32,0.125,57,0.22265625,20,0.078125,58,0.2265625,89,0.34765625,,,,
120,1,120,256,0.13630712978192605,False,31,0.12109375,47,0.18359375,14,0.0546875,80,0.3125,84,0.328125,,,,
121,1,121,256,0.13598544636624865,False,30,0.1171875,54,0.2109375,21,0.08203125,79,0.30859375,72,0.28125,,,,
122,1,122,256,0.12614102077350253,False,33,0.12890625,38,0.1484375,21,0.08203125,86,0.3359375,78,0.3046875,,,,
123,1,123,256,0.14006098799291067,False,35,0.13671875,44,0.171875,24,0.09375,74,0.2890625,79,0.30859375,,,,
124,1,124,256,0.13765158617752604,False,27,0.10546875,48,0.1875,15,0.05859375,83,0.32421875,83,0.32421875,,,,
125,1,125,256,0.13748082508664083,False,21,0.08203125,44,0.171875,21,0.08203125,80,0.3125,90,0.3515625,,,,
126,1,126,256,0.134734158142237,False,28,0.109375,50,0.1953125,25,0.09765625,71,0.27734375,82,0.3203125,,,,
127,1,127,256,0.12266192756942473,False,29,0.11328125,50,0.1953125,18,0.0703125,68,0.265625,91,0.35546875,,,,
128,1,128,256,0.13534322535269894,False,27,0.10546875,42,0.1640625,22,0.0859375,85,0.33203125,80,0.3125,,,,
129,1,129,256,0.11908843723358586,False,32,0.125,57,0.22265625,12,0.046875,70,0.2734375,85,0.33203125,,,,
130,1,130,256,0.13682023898581974,False,27,0.10546875,52,0.203125,24,0.09375,84,0.328125,69,0.26953125,,,,
131,1,131,256,0.12641323520801961,False,35,0.13671875,58,0.2265625,24,0.09375,74,0.2890625,65,0.25390625,,,,
132,1,132,256,0.11105448909802362,False,35,0.13671875,64,0.25,19,0.07421875,68,0.265625,70,0.2734375,,,,
133,1,133,256,0.13520994439022616,False,24,0.09375,57,0.22265625,25,0.09765625,73,0.28515625,77,0.30078125,,,,
134,1,134,256,0.13358640632941388,False,23,0.08984375,58,0.2265625,19,0.07421875,73,0.28515625,83,0.32421875,,,,
135,1,135,256,0.13742537761572748,False,36,0.140625,39,0.15234375,15,0.05859375,81,0.31640625,85,0.33203125,,,,
136,1,136,256,0.12366903206566349,False,29,0.11328125,56,0.21875,16,0.0625,68,0.265625,87,0.33984375,,,,
137,1,137,256,0.1479509553319076,False,33,0.12890625,52,0.203125,16,0.0625,68,0.265625,87,0.33984375,,,,
138,1,138,256,0.15086337363754865,False,31,0.12109375,41,0.16015625,17,0.06640625,88,0.34375,79,0.30859375,,,,
139,1,139,256,0.13442412167205475,False,28,0.109375,53,0.20703125,20,0.078125,78,0.3046875,77,0.30078125,,,,
140,1,140,256,0.138989276078064,False,27,0.10546875,44,0.171875,24,0.09375,75,0.29296875,86,0.3359375,,,,
141,1,141,256,0.13037395890569314,False,19,0.07421875,59,0.23046875,24,0.09375,72,0.28125,82,0.3203125,,,,
142,1,142,256,0.12661984775331803,False,29,0.11328125,47,0.18359375,26,0.1015625,74,0.2890625,80,0.3125,,,,
143,1,143,256,0.1399389980651904,False,27,0.10546875,49,0.19140625,15,0.05859375,78,0.3046875,87,0.33984375,,,,
144,1,144,256,0.14061283675255254,False,30,0.1171875,44,0.171875,24,0.09375,84,0.328125,74,0.2890625,,,,
145,1,145,256,0.13284831821511034,False,33,0.12890625,49,0.19140625,21,0.08203125,77,0.30078125,76,0.296875,,,,
146,1,146,256,0.13281463128805626,False,22,0.0859375,50,0.1953125,22,0.0859375,80,0.3125,82,0.3203125,,,,
147,1,147,256,0.12550477631157264,False,34,0.1328125,50,0.1953125,19,0.07421875,70,0.2734375,83,0.32421875,,,,
148,1,148,256,0.1325090900354553,False,33,0.12890625,54,0.2109375,17,0.06640625,74,0.2890625,78,0.3046875,,,,
149,1,149,256,0.12792300278670155,False,45,0.17578125,51,0.19921875,15,0.05859375,73,0.28515625,72,0.28125,,,,
150,1,150,256,0.1472870347352,False,28,0.109375,43,0.16796875,17,0.06640625,90,0.3515625,78,0.3046875,,,,
151,1,151,256,0.14486272566136904,False,29,0.11328125,56,0.21875,18,0.0703125,71,0.27734375,82,0.3203125,,,,
152,1,152,256,0.12094833025184926,False,22,0.0859375,58,0.2265625,26,0.1015625,76,0.296875,74,0.2890625,,,,
153,1,153,256,0.13597252024919726,False,24,0.09375,51,0.19921875,25,0.09765625,83,0.32421875,73,0.28515625,,,,
154,1,154,256,0.13908492325572297,False,29,0.11328125,46,0.1796875,18,0.0703125,93,0.36328125,70,0.2734375,,,,
